agent_nr,rate,noise,Self,Other,trial,strategy
2,0.65,0.2,1,1,13,LSWS
2,0.65,0.2,0,0,14,LSWS
2,0.65,0.2,1,1,15,LSWS
2,0.65,0.2,0,1,16,LSWS
2,0.65,0.2,0,1,17,LSWS
2,0.65,0.2,0,1,18,LSWS
2,0.65,0.2,1,0,19,LSWS
2,0.65,0.2,1,0,20,LSWS
2,0.65,0.2,1,1,21,LSWS
2,0.65,0.2,0,1,22,LSWS
2,0.65,0.2,1,1,23,LSWS
2,0.65,0.2,0,1,24,LSWS
2,0.65,0.2,0,0,25,LSWS
2,0.65,0.2,1,0,26,LSWS
2,0.65,0.2,1,0,27,LSWS
2,0.65,0.2,1,0,28,LSWS
2,0.65,0.2,1,0,29,LSWS
2,0.65,0.2,0,1,30,LSWS
2,0.65,0.2,0,0,31,LSWS
2,0.65,0.2,1,1,32,LSWS
2,0.65,0.2,0,1,33,LSWS
2,0.65,0.2,0,1,34,LSWS
2,0.65,0.2,0,1,35,LSWS
2,0.65,0.2,0,0,36,LSWS
2,0.65,0.2,1,1,37,LSWS
2,0.65,0.2,0,1,38,LSWS
2,0.65,0.2,0,1,39,LSWS
2,0.65,0.2,0,1,40,LSWS
2,0.65,0.2,0,1,41,LSWS
2,0.65,0.2,0,1,42,LSWS
2,0.65,0.2,0,1,43,LSWS
2,0.65,0.2,0,1,44,LSWS
2,0.65,0.2,0,0,45,LSWS
2,0.65,0.2,0,1,46,LSWS
2,0.65,0.2,0,1,47,LSWS
2,0.65,0.2,0,1,48,LSWS
2,0.65,0.2,0,1,49,LSWS
2,0.65,0.2,0,1,50,LSWS
2,0.65,0.2,0,1,51,LSWS
2,0.65,0.2,0,1,52,LSWS
2,0.65,0.2,0,1,53,LSWS
2,0.65,0.2,0,0,54,LSWS
2,0.65,0.2,1,1,55,LSWS
2,0.65,0.2,0,1,56,LSWS
2,0.65,0.2,0,1,57,LSWS
2,0.65,0.2,0,1,58,LSWS
2,0.65,0.2,0,1,59,LSWS
2,0.65,0.2,0,1,60,LSWS
2,0.65,0.2,0,1,61,LSWS
2,0.65,0.2,0,0,62,LSWS
2,0.65,0.2,1,0,63,LSWS
2,0.65,0.2,1,1,64,LSWS
2,0.65,0.2,0,1,65,LSWS
2,0.65,0.2,0,0,66,LSWS
2,0.65,0.2,1,1,67,LSWS
2,0.65,0.2,0,1,68,LSWS
2,0.65,0.2,0,1,69,LSWS
2,0.65,0.2,0,1,70,LSWS
2,0.65,0.2,1,1,71,LSWS
2,0.65,0.2,0,1,72,LSWS
2,0.65,0.2,0,1,73,LSWS
2,0.65,0.2,0,0,74,LSWS
2,0.65,0.2,1,0,75,LSWS
2,0.65,0.2,1,1,76,LSWS
2,0.65,0.2,1,1,77,LSWS
2,0.65,0.2,1,1,78,LSWS
2,0.65,0.2,0,1,79,LSWS
2,0.65,0.2,0,0,80,LSWS
2,0.65,0.2,0,0,81,LSWS
2,0.65,0.2,1,1,82,LSWS
2,0.65,0.2,1,1,83,LSWS
2,0.65,0.2,0,1,84,LSWS
2,0.65,0.2,0,0,85,LSWS
2,0.65,0.2,1,1,86,LSWS
2,0.65,0.2,0,1,87,LSWS
2,0.65,0.2,1,1,88,LSWS
2,0.65,0.2,1,0,89,LSWS
2,0.65,0.2,1,1,90,LSWS
2,0.65,0.2,0,1,91,LSWS
2,0.65,0.2,0,1,92,LSWS
2,0.65,0.2,0,1,93,LSWS
2,0.65,0.2,0,1,94,LSWS
2,0.65,0.2,0,0,95,LSWS
2,0.65,0.2,1,0,96,LSWS
2,0.65,0.2,1,0,97,LSWS
2,0.65,0.2,1,0,98,LSWS
2,0.65,0.2,0,1,99,LSWS
2,0.65,0.2,0,1,100,LSWS
2,0.65,0.2,0,1,101,LSWS
2,0.65,0.2,0,0,102,LSWS
2,0.65,0.2,1,0,103,LSWS
2,0.65,0.2,1,1,104,LSWS
2,0.65,0.2,0,1,105,LSWS
2,0.65,0.2,0,0,106,LSWS
2,0.65,0.2,1,0,107,LSWS
